id;nome_alimento;preparo;kcal;proteina;lipidios;carboidratos;fibra
390;Gueroba (palmito in natura);Refogado(a);28;2.52;0.62;4.62;2.4
391;Pimentão;Não se aplica;20;0.86;0.17;4.64;1.7
392;Quiabo;Cru(a);22;1.87;0.21;4.51;2.5
393;Quiabo ;Cozido(a);22;1.87;0.21;4.51;2.5
394;Quiabo ;Frito(a);47.09;1.87;3.05;4.51;2.5
395;Quiabo ;Empanado(a)/à milanesa;47.09;1.87;3.05;4.51;2.5
396;Quiabo ;Refogado(a);47.09;1.87;3.05;4.51;2.5
397;Quiabo ;Ensopado;47.09;1.87;3.05;4.51;2.5
398;Quiabo ;Não se aplica;22;1.87;0.21;4.51;2.5
399;Tomate;Não se aplica;18;0.88;0.2;3.92;1.2
400;Vagem;Cru(a);35;1.89;0.28;7.88;3.2
401;Vagem;Cozido(a);35;1.89;0.28;7.88;3.2
402;Vagem;Refogado(a);67.12;1.89;3.91;7.88;3.2
403;Vagem;Com manteiga/óleo;67.12;1.89;3.91;7.88;3.2
404;Vagem;Ensopado;67.12;1.89;3.91;7.88;3.2
405;Vagem;Não se aplica;35;1.89;0.28;7.88;3.2
406;Cogumelo in natura;Não se aplica;28;2.17;0.47;5.29;2.2
407;Berinjela;Cru(a);32.9;0.78;0.22;8.21;2.35
408;Berinjela;Cozido(a);35;0.83;0.23;8.73;2.5
409;Berinjela;Assado(a);35;0.83;0.23;8.73;2.5
410;Berinjela;Frito(a);75.55;0.83;4.82;8.73;2.5
411;Berinjela;Empanado(a)/à milanesa;164.87;3.69;10.18;15.86;2.71
412;Berinjela;Refogado(a);75.55;0.83;4.82;8.73;2.5
413;Berinjela ;Ao vinagrete;35;0.83;0.23;8.73;2.5
414;Berinjela;Ensopado;75.55;0.83;4.82;8.73;2.5
415;Berinjela;Não se aplica;35;0.83;0.23;8.73;2.5
416;Ervilha em vagem;Cozido(a);67.09;3.27;3.07;7.05;2.8
417;Ervilha em vagem;Refogado(a);67.09;3.27;3.07;7.05;2.8
418;Cebola;Cru(a);40;1.1;0.1;9.34;1.93
419;Cebola;Cozido(a);44;1.36;0.19;10.15;1.4
420;Cebola;Grelhado(a)/brasa/churrasco;44;1.36;0.19;10.15;1.4
421;Cebola;Assado(a);44;1.36;0.19;10.15;1.4
422;Cebola;Frito(a);63.12;1.36;2.35;10.15;1.4
423;Cebola;Refogado(a);63.12;1.36;2.35;10.15;1.4
424;Cebola;Molho vermelho;40;1.35;0.19;9.2;1.42
425;Cebola;Com manteiga/óleo;60.15;1.38;2.02;10.15;1.4
426;Cebola;Ao vinagrete;40;1.1;0.1;9.34;1.93
427;Cebola;Não se aplica;40;1.1;0.1;9.34;1.93
428;Catalonha;Refogado(a);42.94;1.88;2.68;4.13;2.1
429;Jardineira (seleta);Não se aplica;47;2.53;0.26;9.06;2.8
430;Seleta (jardineira);Não se aplica;47;2.53;0.26;9.06;2.8
431;Alho;Não se aplica;149;6.36;0.5;33.06;2.1
432;Alhoporó;Não se aplica;54.48;0.81;2.86;7.62;1
433;Broto de alfafa;Não se aplica;23;3.99;0.69;2.1;1.9
434;Alface orgânica;Não se aplica;15;1.36;0.15;2.79;1.3
435;Tomate orgânico;Não se aplica;18;0.88;0.2;3.92;1.2
436;Pimentão orgânico;Não se aplica;20;0.86;0.17;4.64;1.7
437;Orégano;Não se aplica;306;11;10.25;64.43;42.8
438;Pacová;Não se aplica;78;1.2;0.1;20.3;2
439;Banana (ouro. prata. d´água. da terra. etc.);Cru(a);89;1.09;0.33;22.84;2.6
440;Banana (ouro. prata. d´água. da terra. etc.);Cozido(a);89;1.09;0.33;22.84;2.6
441;Banana (ouro. prata. d´água. da terra. etc.);Assado(a);89;1.09;0.33;22.84;2.6
442;Banana (ouro. prata. d´água. da terra. etc.);Frito(a);213.11;1.22;13.25;25.47;2.9
443;Banana (ouro. prata. d´água. da terra. etc.);Empanado(a)/à milanesa;213.11;1.22;13.25;25.47;2.9
444;Banana (ouro. prata. d´água. da terra. etc.);Com manteiga/óleo;195.41;1.33;11.25;25.48;2.9
445;Banana (ouro. prata. d´água. da terra. etc.);Ensopado;89;1.09;0.33;22.84;2.6
446;Banana (ouro. prata. d´água. da terra. etc.);Mingau;112.04;2.29;1.72;23.18;1.54
447;Banana (ouro. prata. d´água. da terra. etc.);Sopa;112.04;2.29;1.72;23.18;1.54
448;Banana (ouro. prata. d´água. da terra. etc.);Não se aplica;89;1.09;0.33;22.84;2.6
449;Laranja (pera. seleta. lima. da terra. etc.);Não se aplica;47;0.94;0.12;11.75;2.35
450;Lima;Não se aplica;47;0.94;0.12;11.75;2.35
451;Limão (comum. galego. etc.);Não se aplica;30;0.7;0.2;10.54;2.8
452;Tangerina;Não se aplica;53;0.81;0.31;13.34;1.8
453;Mexerica;Não se aplica;53;0.81;0.31;13.34;1.8
454;Bergamota;Não se aplica;53;0.81;0.31;13.34;1.8
455;Mimosa;Não se aplica;53;0.81;0.31;13.34;1.8
456;Tanja;Não se aplica;53;0.81;0.31;13.34;1.8
457;Maricota;Não se aplica;53;0.81;0.31;13.34;1.8
458;Laranjinha japonesa;Não se aplica;47;0.94;0.12;11.75;2.35
459;Canadeaçúcar;Não se aplica;73.58;0;0.05;19.97;0
460;Abacaxi;Não se aplica;48;0.54;0.12;12.63;1.4
461;Ananás;Não se aplica;48;0.54;0.12;12.63;1.4
462;Abacate;Não se aplica;120;2.23;10.06;7.82;5.6
463;Caqui;Não se aplica;70;0.58;0.19;18.59;3.6
464;Figo;Não se aplica;74;0.75;0.3;19.18;2.9
465;Maçã;Não se aplica;52;0.26;0.17;13.81;2.4
466;Mamão;Não se aplica;39;0.61;0.14;9.81;1.8
467;Papaia;Não se aplica;39;0.61;0.14;9.81;1.8
468;Manga;Não se aplica;65;0.51;0.27;17;1.76
469;Manguito;Não se aplica;65;0.51;0.27;17;1.76
470;Maracujá;Não se aplica;97;2.2;0.7;23.38;10.4
471;Melancia;Não se aplica;30;0.61;0.15;7.55;0.4
472;Melão;Não se aplica;36;0.54;0.14;9.09;0.8
473;pera;Não se aplica;58;0.38;0.12;15.46;3.16
474;Pêssego;Não se aplica;39;0.91;0.25;9.54;1.5
475;Frutadeconde;Não se aplica;74;1.65;0.62;17.7;2.3
476;Pinha (frutadeconde);Não se aplica;74;1.65;0.62;17.7;2.3
477;Ata;Não se aplica;74;1.65;0.62;17.7;2.3
478;Uva;Não se aplica;69;0.72;0.16;18.1;0.9
479;Uva passa;Não se aplica;299;3.07;0.46;79.18;3.7
480;Jenipapo ;Não se aplica;113;5.2;0.3;25.7;9.4
481;Jaca;Não se aplica;94;1.47;0.3;24.01;1.6
482;Goiaba;Não se aplica;68;2.55;0.95;14.32;5.4
483;Araçáaçu (goiaba);Não se aplica;68;2.55;0.95;14.32;5.4
484;Ameixa;Não se aplica;46;0.7;0.28;11.42;1.4
485;Caju;Não se aplica;43;1;0.3;10.3;1.7
486;Cereja;Não se aplica;63;1.06;0.2;16.01;2.1
487;Cajámanga;Não se aplica;46;1.3;0;11.4;2.6
488;Cajarana;Não se aplica;46;0.2;0.1;12.4;1.1
489;Taperebá;Não se aplica;70;0.8;2.1;13.8;1
490;Acaja (taberebá);Não se aplica;46;1.3;0;11.4;2.6
491;Carambola;Não se aplica;31;1.04;0.33;6.73;2.8
492;Jabuticaba;Não se aplica;73;0.66;0.5;18.4;7
493;Graviola;Não se aplica;62;0.8;0.2;15.8;1.9
494;Morango;Não se aplica;32;0.67;0.3;7.68;2
495;Jambo;Não se aplica;27;0.9;0.1;6.5;5.1
496;Atemoia ;Não se aplica;74;1.65;0.62;17.7;2.3
497;Mangaba;Não se aplica;43;0.7;0.3;10.5;0.8
498;Araçá;Não se aplica;68;2.55;0.95;14.32;5.4
499;Nêspera;Não se aplica;47;0.43;0.2;12.14;1.7
500;Frutapão;Não se aplica;103;1.07;0.23;27.12;4.9
501;Sapoti;Não se aplica;96;0.7;0.1;25.9;9.9
502;Uxi;Não se aplica;252;2.2;10.1;38.2;20.5
503;Tamarindo;Não se aplica;239;2.8;0.6;62.5;5.1
504;Cacau;Não se aplica;74;1;0.1;19.4;2.2
505;Pitomba ;Não se aplica;66;0.83;0.44;16.53;1.3
506;Bacuri;Não se aplica;105;1.9;2;22.8;7.4
507;Ingá;Não se aplica;60;1;0.1;15.5;1.2
508;Pequi;Não se aplica;152;1.5;13.4;6.3;4.7
509;Pitanga ;Não se aplica;41;0.9;0.2;10.2;3.2
510;Ciriguela;Não se aplica;76;1.4;0.4;18.9;3.9
511;Murici;Não se aplica;66;0.9;1.3;14.4;2.2
512;Umbu;Não se aplica;37;0.8;0;9.4;2
513;Imbu;Não se aplica;37;0.8;0;9.4;2
514;Biribá;Não se aplica;74;1.65;0.62;17.7;2.3
515;Cupuaçu;Não se aplica;49;1.2;1;10.4;3.1
516;Nectarina;Não se aplica;44;1.06;0.32;10.55;1.7
517;Mari;Não se aplica;281.1;2.7;21.1;20.1;0
518;Romã;Não se aplica;56;0.4;0;15.1;0.4
519;Acerola;Não se aplica;32;0.4;0.3;7.69;1.1
520;Kiwi;Não se aplica;61;1.14;0.52;14.66;3
521;Abiu;Não se aplica;62;0.8;0.7;14.9;1.7
522;Jurubeba;Não se aplica;126;4.4;3.9;23.1;1.2
523;Fruta (não especificada);Não se aplica;89;1.09;0.33;22.84;2.6
524;Maçã orgânica;Não se aplica;52;0.26;0.17;13.81;2.4
525;Acerola orgânica;Não se aplica;32;0.4;0.3;7.69;1.1
526;Amora;Não se aplica;43;1.39;0.49;9.61;5.3
527;Jamelão (jamburão);Não se aplica;73;0.66;0.5;18.4;7
528;Demerara;Não se aplica;387;0;0;99.98;0
529;Açúcar mascavo;Não se aplica;380;0.12;0;98.09;0
530;Rapadura;Não se aplica;296;0;0;76.6;0
531;Alfenim de cana;Não se aplica;296;0;0;76.6;0
532;Batida (rapadura);Não se aplica;380;0.12;0;98.09;0
533;Sorvete de qualquer sabor industrializado;Não se aplica;206;3.6;11;25.13;0.87
534;Picolé de qualquer sabor industrializado;Não se aplica;79;0;0.24;19.23;0
535;Chiclete;Não se aplica;396;0;0;98.9;0.1
536;Bala;Não se aplica;394;0;0.2;98;0
537;Caramelo (bala);Não se aplica;382;4.6;8.1;77;0
538;Drops;Não se aplica;394;0;0.2;98;0
539;Pastilha;Não se aplica;396;0;0;98.9;0.1
540;Pirulito;Não se aplica;394;0;0.2;98;0
541;Goma de mascar;Não se aplica;396;0;0;98.9;0.1
542;Jujuba;Não se aplica;375;0;0.05;93.55;0.2
543;Tablete de chocolate;Não se aplica;535;7.65;29.66;59.4;3.4
544;Barra de chocolate;Não se aplica;535;7.65;29.66;59.4;3.4
545;Confete;Não se aplica;492;4.33;21.13;71.19;2.8
546;Chocolate em pó de qualquer marca;Não se aplica;364.24;2.83;3.55;85.53;1.66
547;Ovomaltine;Não se aplica;388;9.17;5.19;75.13;1.98
548;Achocolatado em pó;Não se aplica;400;4.55;2.27;90.28;4.5
549;Toddynho;Não se aplica;83.32;3.18;3.4;10.38;0.8
550;Bombom de qualquer marca;Não se aplica;373;0;0.02;93.18;0
551;Trufa ;Não se aplica;487.87;3.57;36.26;49.06;4.55
552;Geleia de frutas de qualquer marca ou sabor;Não se aplica;278;0.37;0.07;68.86;1.1
553;Mousse de qualquer sabor (Geleia) ;Não se aplica;331.89;5.09;21.87;32.19;1.18
554;Geleia de mocotó;Não se aplica;120.25;3.04;0;27.99;0
555;Doce de frutas em pasta de qualquer sabor;Não se aplica;291.3;0.77;0.29;74.28;1.62
556;Pasta de amendoim;Não se aplica;588;25.09;50.39;19.56;6
557;Pessegada;Não se aplica;77;0.54;0.14;19.79;2.2
558;Marmelada;Não se aplica;278;0.37;0.07;68.86;1.1
559;Figada;Não se aplica;88;0.38;0.1;22.9;2.2
560;Goiabada;Não se aplica;291.3;0.77;0.29;74.28;1.62
561;Caju em pasta;Não se aplica;291.3;0.77;0.29;74.28;1.62
562;Mariola;Não se aplica;291.3;0.77;0.29;74.28;1.62
563;Doce de frutas em calda de qualquer sabor;Não se aplica;77;0.54;0.14;19.79;2.2
564;Doce de frutas cristalizado de qualquer sabor;Não se aplica;291.3;0.77;0.29;74.28;1.62
565;Melado;Não se aplica;296;0;0;76.6;0
566;Mel ;Não se aplica;304;0.3;0;82.4;0.2
567;Gelatina de qualquer sabor;Não se aplica;278;0.37;0.07;68.86;1.1
568;Adoçante artificial;Não se aplica;0;0;0;0;0
569;Merengue;Não se aplica;358.26;6.21;0.1;85.89;0
570;Schimier de cana;Não se aplica;296;0;0;76.6;0
571;Fruta seca ou desidratada;Não se aplica;240;2.18;0.38;63.88;7.1
572;Passa;Não se aplica;299;3.07;0.46;79.18;3.7
573;Pudim de qualquer sabor;Não se aplica;131.15;5.58;5.07;15.44;0
574;Danette pudim;Não se aplica;131.15;5.58;5.07;15.44;0
575;Manjar;Não se aplica;284.98;8.2;10.74;40.14;0.34
576;Cuscuz;Não se aplica;128.3;4.35;0.22;26.42;1.71
577;Cuscuz de tapioca;Não se aplica;116.99;4.33;4.1;15.51;0.03
578;Mariamole;Não se aplica;444.92;1.64;19.94;68.84;2.59
579;Cocada;Não se aplica;404.8;1.01;12.46;75.65;1.58
580;Quebraqueixo;Não se aplica;404.8;1.01;12.46;75.65;1.58
581;Doce de amendoim;Não se aplica;451.58;11.16;23.89;55.29;3.73
582;Pé de moleque;Não se aplica;474;9.1;17.91;69.2;2.42
583;Paçoca;Não se aplica;472.17;10.35;21.53;64.04;3.89
584;Torrão de amendoim;Não se aplica;460.34;11.01;24.64;56.27;6.13
585;Paçoquinha de amendoim;Não se aplica;472.17;10.35;21.53;64.04;3.89
586;Amendoim caramelizado;Não se aplica;474;9.1;17.91;69.2;2.42
587;Amendoim amanteigado;Não se aplica;567;25.8;49.24;16.13;8.5
588;Amendoim achocolatado;Não se aplica;519;13.1;33.5;49.7;4.7
589;Amendoim apimentado;Não se aplica;567;25.8;49.24;16.13;8.5
590;Amendoim cozido;Não se aplica;318;13.5;22.01;21.26;8.8
591;Brigadeiro;Não se aplica;334.48;7.52;10.14;54.86;0.23
592;Bomba de qualquer tipo;Não se aplica;339.26;6.32;26.93;18.55;0.54
593;Mil folhas;Não se aplica;440.33;2.36;29.03;43.22;0.43
594;Queijadinha;Não se aplica;404.8;1.01;12.46;75.65;1.58
595;Doce à base de ovos;Não se aplica;131.15;5.58;5.07;15.44;0
596;Caçarola italiana;Não se aplica;284.98;8.2;10.74;40.14;0.34
597;Quindim;Não se aplica;131.15;5.58;5.07;15.44;0
598;Fios de ovos;Não se aplica;131.15;5.58;5.07;15.44;0
599;Doce à base de leite;Não se aplica;319.7;7.88;8.67;54.18;0
600;Pavê de qualquer sabor;Não se aplica;306.43;4.94;22.24;21.59;0.36
601;Ambrosia;Não se aplica;144.23;4.09;3.84;23.88;0.26
602;Leite geleificado;Não se aplica;131.15;5.58;5.07;15.44;0
603;Chandele de qualquer sabor;Não se aplica;131.15;5.58;5.07;15.44;0
604;Mumu ;Não se aplica;319.7;7.88;8.67;54.18;0
605;Canudinho recheado;Não se aplica;123.26;2.43;4.5;21.33;2.22
606;Sarolho;Não se aplica;336;2;0;82;0
607;Beiju;Não se aplica;336;2;0;82;0
608;Schimier de fruta (exceto de cana);Não se aplica;278;0.37;0.07;68.86;1.1
609;Beijo de moça;Não se aplica;387;0;0;99.98;0
610;Picolé ensacado;Não se aplica;79;0;0.24;19.23;0
611;Geladinho;Não se aplica;122.69;0.14;0.09;32.51;0.45
612;Churro;Não se aplica;401.66;3;23.44;45.94;0.81
613;Pamonha;Não se aplica;171;2.6;4.8;30.7;2.4
614;Algodãodoce;Não se aplica;387;0;0;99.98;0
615;IoIô crem (chocolate em creme);Não se aplica;350;4.6;8.9;62.9;2.8
616;Ovo de páscoa;Não se aplica;535;7.65;29.66;59.4;3.4
617;Kinder ovo;Não se aplica;535;7.65;29.66;59.4;3.4
618;Torrone;Não se aplica;460.34;11.01;24.64;56.27;6.13
619;Arrozdoce;Não se aplica;108.49;3.05;2.34;18.77;0.1
620;Polpa de coco;Não se aplica;402;3.8;41.7;9.8;5
621;Diet shake;Não se aplica;335.52;19.19;1.87;69.94;7.39
622;Concentrado alimentar diet shake;Não se aplica;335.52;19.19;1.87;69.94;7.39
623;Açúcar ;Não se aplica;387;0;0;99.98;0
624;Açúcar light;Não se aplica;400;0;0;100;0
625;Barra de cereais;Não se aplica;352.92;3.17;8.55;69.44;2.32
626;Barra de cereais salgada;Não se aplica;352.92;3.17;8.55;69.44;2.32
627;Barra de cereais doce;Não se aplica;352.92;3.17;8.55;69.44;2.32
628;Sobremesa de qualquer tipo (exceto infantil);Não se aplica;131.15;5.58;5.07;15.44;0
629;Rabanada;Não se aplica;293;4.7;16.6;31.3;0.5
630;Milk shake ;Não se aplica;161.09;3.11;6.43;23.49;0.76
631;Geleia diet;Não se aplica;52.64;0.47;0.17;12.72;1.4
632;Doce de frutas diet;Não se aplica;52.64;0.47;0.17;12.72;1.4
633;Pastéis de santa clara;Não se aplica;131.15;5.58;5.07;15.44;0
634;Suspiro;Não se aplica;358.26;6.21;0.1;85.89;0
635;Doce de frutas cristalizado de qualquer sabor diet;Não se aplica;52.64;0.47;0.17;12.72;1.4
636;Sorvete de qualquer sabor industrializado light;Não se aplica;188.99;4.43;7.67;26.15;0.6
637;Sorvete de qualquer sabor industrializado diet;Não se aplica;190;3.17;12.7;15.87;4.8
638;Bala light;Não se aplica;235;0;0;95;0
639;Chiclete diet;Não se aplica;240;0;0;100;0
640;Bala diet;Não se aplica;235;0;0;95;0
641;Barra de chocolate light;Não se aplica;539.79;10.58;41.64;40.42;4.32
642;Barra de chocolate diet;Não se aplica;539.79;10.58;41.64;40.42;4.32
643;Achocolatado em pó light;Não se aplica;337.7;29.42;2.39;55.3;4.43
644;Achocolatado em pó diet;Não se aplica;337.7;29.42;2.39;55.3;4.43
645;Toddynho diet;Não se aplica;73.29;3.48;3.51;7.09;0.39
646;Bombom de qualquer marca light;Não se aplica;373;0;0.02;93.18;0
647;Bombom de qualquer marca diet;Não se aplica;373;0;0.02;93.18;0
648;Bombom caramelizado de qualquer marca diet;Não se aplica;373;0;0.02;93.18;0
649;Geleia de frutas de qualquer marca ou sabor light;Não se aplica;179.01;0.36;0.05;46.13;0.35
650;Geleia light;Não se aplica;179.01;0.36;0.05;46.13;0.35
651;Geleia de frutas light;Não se aplica;179.01;0.36;0.05;46.13;0.35
652;Doce de frutas em barra ou pasta light;Não se aplica;179.01;0.36;0.05;46.13;0.35
653;Doce de frutas em pasta light;Não se aplica;179.01;0.36;0.05;46.13;0.35
654;Pudim de qualquer sabor light;Não se aplica;119.15;5.68;3.55;15.75;0
655;Pudim danette light;Não se aplica;119.15;5.68;3.55;15.75;0
656;Pudim de qualquer sabor diet;Não se aplica;119.15;5.68;3.55;15.75;0
657;Doce de leite light;Não se aplica;292.29;7.58;3.62;58.98;0
658;Doce de leite diet;Não se aplica;292.29;7.58;3.62;58.98;0
659;Barra de cereais diet;Não se aplica;403.45;5.56;5.44;86.36;7.2
660;Barra de cereais doce diet;Não se aplica;403.45;5.56;5.44;86.36;7.2
661;Milk shake diet;Não se aplica;335.52;19.19;1.87;69.94;7.39
662;Cocada diet;Não se aplica;404.8;1.01;12.46;75.65;1.58
663;Doce de amendoim diet;Não se aplica;599;28.03;52.5;15.26;9.4
664;Paçoca diet;Não se aplica;599;28.03;52.5;15.26;9.4
665;Amendoim amanteigado diet;Não se aplica;477.86;7.09;21.64;64.64;2.96
666;Doce à base de leite diet;Não se aplica;292.29;7.58;3.62;58.98;0
667;Gelatina de qualquer sabor light;Não se aplica;179.01;0.36;0.05;46.13;0.35
668;Adoçante light;Não se aplica;365;2.17;0;89.08;0
669;Adoçante em pó light;Não se aplica;365;2.17;0;89.08;0
670;Adoçante liquido light;Não se aplica;0;0;0;0;0
671;Mostarda molho;Não se aplica;67;4.37;4.01;5.33;3.3
672;Hortelã;Não se aplica;1;0;0;0.2;0
673;Alcaparra em conserva;Não se aplica;23;2.36;0.86;4.89;3.2
674;Coentro;Não se aplica;279;21.93;4.78;52.1;10.4
675;Molho de soja;Não se aplica;53;6.28;0.04;7.61;0.8
676;Shoyo;Não se aplica;53;6.28;0.04;7.61;0.8
677;Leite de coco;Não se aplica;202.46;1.61;20.85;5.59;0.91
678;Maionese (molho);Não se aplica;261.05;0.47;23.33;13.38;0.06
679;Massa de tomate;Não se aplica;38;1.65;0.21;8.98;1.9
680;Molho de tomate;Não se aplica;24;1.32;0.18;5.38;1.5
681;Ketchup;Não se aplica;97;1.74;0.31;25.15;0.3
682;Catchup;Não se aplica;97;1.74;0.31;25.15;0.3
683;Pimenta em pó;Não se aplica;255;10.95;3.26;64.81;26.5
684;Tucupi em caldo sem pimenta;Não se aplica;4.87;0.01;0;1.3;0.01
685;Creme de queijo;Não se aplica;209.66;10.34;15.81;6.72;0.1
686;Caldo de peixe;Não se aplica;16;2;0.6;0.4;0
687;Caldo de tomate;Não se aplica;37.65;0.75;0.78;7.39;0.46
688;Gergelim;Não se aplica;631;20.45;61.21;11.73;11.6
689;Tomate seco;Não se aplica;213;5.06;14.08;23.33;5.8
690;Maionese (molho) light;Não se aplica;156.58;0.59;9.46;18.77;1.24
691;Molho de soja light;Não se aplica;53.13;5.18;0.08;8.53;0.8
692;Leite de coco light;Não se aplica;202.46;1.61;20.85;5.59;0.91
693;Vinagrete;Não se aplica;76.79;0.65;6.21;3.68;0.93
694;Filémignon;Cozido(a);204;30.67;9;0;0
695;Filémignon;Grelhado(a)/brasa/churrasco;204;30.67;9;0;0
696;Filémignon;Assado(a);204;30.67;9;0;0
697;Filémignon;Frito(a);226.66;30.67;11.56;0;0
698;Filémignon;Empanado(a)/à milanesa;242.84;31.13;11.61;3.39;0.14
699;Filémignon;Refogado(a);226.66;30.67;11.56;0;0
700;Filémignon;Molho vermelho;168;24.8;7.24;1.08;0.3
701;Filémignon;Molho branco;195.79;25.32;9.69;1.85;0.04
702;Filémignon;Com manteiga/óleo;223.14;30.69;11.17;0;0
703;Filémignon;Não se aplica;204;30.67;9;0;0
704;Contrafilé;Cozido(a);204;30.67;9;0;0
705;Contrafilé;Grelhado(a)/brasa/churrasco;204;30.67;9;0;0
706;Contrafilé;Assado(a);204;30.67;9;0;0
707;Contrafilé;Frito(a);226.66;30.67;11.56;0;0
708;Contrafilé;Empanado(a)/à milanesa;242.84;31.13;11.61;3.39;0.14
709;Contrafilé;Refogado(a);226.66;30.67;11.56;0;0
710;Contrafilé;Molho vermelho;168;24.8;7.24;1.08;0.3
711;Bisteca bovina;Cru(a);471;21.57;41.98;0;0
712;Bisteca bovina;Cozido(a);471;21.57;41.98;0;0
713;Bisteca bovina;Grelhado(a)/brasa/churrasco;471;21.57;41.98;0;0
714;Bisteca bovina;Assado(a);471;21.57;41.98;0;0
715;Bisteca bovina;Frito(a);471;21.57;41.98;0;0
716;Bisteca bovina;Empanado(a)/à milanesa;329.84;26.31;22.65;3.39;0.14
717;Bisteca bovina;Refogado(a);471;21.57;41.98;0;0
718;Bisteca bovina;Molho vermelho;381.6;17.52;33.62;1.08;0.3
719;Alcatra;Cru(a);204;30.67;9;0;0
720;Alcatra ;Cozido(a);204;30.67;9;0;0
721;Alcatra;Grelhado(a)/brasa/churrasco;204;30.67;9;0;0
722;Alcatra;Assado(a);204;30.67;9;0;0
723;Alcatra;Frito(a);253.57;30.67;14.61;0;0
724;Alcatra;Empanado(a)/à milanesa;253.57;30.67;14.61;0;0
725;Alcatra;Refogado(a);253.57;30.67;14.61;0;0
726;Alcatra;Molho vermelho;168;24.8;7.24;1.08;0.3
727;Alcatra;Ao vinagrete;204;30.67;9;0;0
728;Alcatra;Ensopado;253.57;30.67;14.61;0;0
729;Maminha;Grelhado(a)/brasa/churrasco;199;36.12;5;0;0
730;Maminha;Assado(a);199;36.12;5;0;0
731;Maminha;Frito(a);248.57;36.12;10.61;0;0
732;Maminha;Molho vermelho;164;29.16;4.04;1.08;0.3
733;Picanha;Cozido(a);204;30.67;9;0;0
734;Picanha;Grelhado(a)/brasa/churrasco;204;30.67;9;0;0
735;Picanha;Assado(a);204;30.67;9;0;0
736;Picanha ;Frito(a);253.57;30.67;14.61;0;0
737;Picanha ;Ensopado;253.57;30.67;14.61;0;0
738;Patinho;Cozido(a);199;36.12;5;0;0
739;Patinho;Grelhado(a)/brasa/churrasco;199;36.12;5;0;0
740;Patinho;Assado(a);199;36.12;5;0;0
741;Patinho;Frito(a);248.57;36.12;10.61;0;0
742;Patinho;Empanado(a)/à milanesa;248.57;36.12;10.61;0;0
743;Patinho;Molho vermelho;164;29.16;4.04;1.08;0.3
744;Patinho;Ensopado;248.57;36.12;10.61;0;0
745;Cabeça de lombo (carne bovina);Cozido(a);199;36.12;5;0;0
746;Cabeça de lombo (carne bovina);Grelhado(a)/brasa/churrasco;199;36.12;5;0;0
747;Cabeça de lombo (carne bovina);Assado(a);199;36.12;5;0;0
748;Cabeça de lombo (carne bovina);Frito(a);248.57;36.12;10.61;0;0
749;Cabeça de lombo (carne bovina);Empanado(a)/à milanesa;248.57;36.12;10.61;0;0
750;Cabeça de lombo (carne bovina);Refogado(a);248.57;36.12;10.61;0;0
751;Posta branca;Cozido(a);199;36.12;5;0;0
752;Posta branca;Frito(a);248.57;36.12;10.61;0;0
753;Posta branca;Molho vermelho;164;29.16;4.04;1.08;0.3
754;Tatu (lagarto redondo);Cozido(a);199;36.12;5;0;0
755;Tatu (lagarto redondo);Assado(a);199;36.12;5;0;0
756;Tatu (lagarto redondo);Refogado(a);248.57;36.12;10.61;0;0
757;Tatu (lagarto redondo);Não se aplica;199;36.12;5;0;0
758;Paulista;Cozido(a);199;36.12;5;0;0
759;Paulista;Assado(a);199;36.12;5;0;0
760;Lombo paulista (carne bovina);Cozido(a);199;36.12;5;0;0
761;Lombo paulista (carne bovina);Assado(a);199;36.12;5;0;0
762;Lombo paulista (carne bovina);Frito(a);248.57;36.12;10.61;0;0
763;Lombo paulista (carne bovina);Ensopado;248.57;36.12;10.61;0;0
764;Posta vermelha;Cozido(a);199;36.12;5;0;0
765;Acém;Cozido(a);242;24.22;15.42;0;0
766;Acém;Assado(a);242;24.22;15.42;0;0
767;Acém;Frito(a);264.66;24.22;17.98;0;0
768;Acém;Empanado(a)/à milanesa;280.84;24.68;18.03;3.39;0.14
769;Acém;Refogado(a);264.66;24.22;17.98;0;0
770;Acém;Ensopado;264.66;24.22;17.98;0;0
771;Agulha (acém);Cozido(a);242;24.22;15.42;0;0
772;Agulha (acém);Assado(a);242;24.22;15.42;0;0
773;Agulha (acém);Frito(a);264.66;24.22;17.98;0;0
774;Paleta ;Cozido(a);242;24.22;15.42;0;0
775;Paleta ;Frito(a);264.66;24.22;17.98;0;0
776;Paleta ;Molho vermelho;198.4;19.64;12.37;1.08;0.3
777;Paleta ;Ensopado;264.66;24.22;17.98;0;0
778;Pá com osso;Cozido(a);242;24.22;15.42;0;0
779;Pá com osso;Grelhado(a)/brasa/churrasco;242;24.22;15.42;0;0
780;Pá com osso;Assado(a);242;24.22;15.42;0;0
781;Músculo bovino;Cozido(a);199;36.12;5;0;0
782;Músculo bovino;Assado(a);199;36.12;5;0;0
783;Músculo bovino;Molho vermelho;164;29.16;4.04;1.08;0.3
784;Músculo bovino;Ensopado;221.66;36.12;7.56;0;0
785;Músculo bovino;Sopa;63.94;3.81;1.81;7.73;0.39
786;Chambaril;Cozido(a);242;24.22;15.42;0;0
787;Chambaril;Assado(a);242;24.22;15.42;0;0
788;Chambaril;Refogado(a);264.66;24.22;17.98;0;0
789;Carne marica bovina;Cozido(a);199;36.12;5;0;0
790;Carne marica bovina;Frito(a);221.66;36.12;7.56;0;0
