id;nome_alimento;preparo;kcal;proteina;lipidios;carboidratos;fibra
85;Aipim;Molho vermelho;104.8;0.74;0.28;25.16;1.58
86;Aipim;Com manteiga/óleo;154.6;0.61;4.34;28.6;1.52
87;Aipim;Ensopado;162.74;0.57;5.26;28.6;1.52
88;Aipim;Sopa;31.44;0.95;0.12;7.01;0.71
89;Aipim;Não se aplica;125;0.6;0.3;30.1;1.6
90;Macaxeira;Cru(a);125;0.6;0.3;30.1;1.6
91;Macaxeira;Cozido(a);125;0.6;0.3;30.1;1.6
92;Macaxeira;Assado(a);125;0.6;0.3;30.1;1.6
93;Macaxeira;Frito(a);162.74;0.57;5.26;28.6;1.52
94;Cará;Cozido(a);100;1.71;0.12;23.4;1.8
95;Cará;Frito(a);115.74;1.71;1.9;23.4;1.8
96;Cará;Refogado(a);115.74;1.71;1.9;23.4;1.8
97;Cará;Ensopado;115.74;1.71;1.9;23.4;1.8
98;Cará;Mingau;100;1.71;0.12;23.4;1.8
99;Cará;Sopa;31.44;0.95;0.12;7.01;0.71
100;Inhame caraquento (cará);Cozido(a);100;1.71;0.12;23.4;1.8
101;Batata (não especificada);Cru(a);86;1.71;0.1;20.01;2.05
102;Batata (não especificada);Cozido(a);86;1.71;0.1;20.01;2.05
103;Batata (não especificada);Grelhado(a)/brasa/churrasco;86;1.71;0.1;20.01;2.05
104;Batata (não especificada);Assado(a);86;1.71;0.1;20.01;2.05
105;Batata (não especificada);Frito(a);263.5;2.87;13.64;33.6;3.44
106;Batata (não especificada);Refogado(a);111.74;1.71;3.01;20.01;2.05
107;Batata (não especificada);Molho vermelho;73.6;1.63;0.12;17.08;1.94
108;Batata (não especificada);Molho branco;101.39;2.15;2.57;17.86;1.68
109;Batata (não especificada);Ao vinagrete;111.74;1.71;3.01;20.01;2.05
110;Batata (não especificada);Ensopado;111.74;1.71;3.01;20.01;2.05
111;Batata (não especificada);Sopa;31.44;0.95;0.12;7.01;0.71
112;Batata (não especificada);Não se aplica;86;1.71;0.1;20.01;2.05
113;Mandioquinha;Cozido(a);76;1.37;0.14;17.72;2.5
114;Mandioquinha;Frito(a);116.4;1.3;5.13;16.83;2.38
115;Mandioquinha;Refogado(a);91.74;1.37;1.92;17.72;2.5
116;Mandioquinha;Ensopado;91.74;1.37;1.92;17.72;2.5
117;Rabanete;Cru(a);16;0.68;0.1;3.4;1.6
118;Rabanete;Cozido(a);18;0.6;0.1;4.1;1.6
119;Rabanete;Ao vinagrete;18;0.6;0.1;4.1;1.6
120;Beterraba;Cru(a);43;1.61;0.17;9.56;2.8
121;Beterraba;Cozido(a);44;1.68;0.18;9.96;2
122;Beterraba;Refogado(a);67.62;1.68;2.85;9.96;2
123;Beterraba;Ao vinagrete;44;1.68;0.18;9.96;2
124;Beterraba;Sopa;31.44;0.95;0.12;7.01;0.71
125;Beterraba;Não se aplica;43;1.61;0.17;9.56;2.8
126;Cenoura;Cru(a);41;0.93;0.24;9.58;2.8
127;Cenoura;Cozido(a);35;0.76;0.18;8.22;3
128;Cenoura;Frito(a);60.47;0.74;3.17;7.97;2.91
129;Cenoura;Refogado(a);60.47;0.74;3.17;7.97;2.91
130;Cenoura;Molho vermelho;32.8;0.87;0.18;7.65;2.7
131;Cenoura;Ao alho e óleo;60.47;0.74;3.17;7.97;2.91
132;Cenoura;Com manteiga/óleo;56.74;0.79;2.64;8.22;3
133;Cenoura;Ao vinagrete;35;0.76;0.18;8.22;3
134;Cenoura;Ensopado;60.47;0.74;3.17;7.97;2.91
135;Cenoura;Sopa;31.44;0.95;0.12;7.01;0.71
136;Cenoura;Não se aplica;41;0.93;0.24;9.58;2.8
137;Nabo;Cozido(a);22;0.71;0.08;5.06;2
138;Nabo;Refogado(a);47.74;0.71;2.99;5.06;2
